MassParameter,LagrangePoint,ZAmplitude,JacobiConstant,Period,Rx,Ry,Rz,Vx,Vy,Vz
2.447832295887157e-6,1,0.0,3.000723565349797,3.058389518277588,0.9896355589515362,0.0,0.0,0.0,0.007966652693465815,0.0
2.447832295887157e-6,1,1.0e-6,3.0007199414850505,3.061643369231483,0.9896065173379501,0.0,1.125310382588979e-6,0.0,0.008221804337261808,0.0
2.447832295887157e-6,1,2.0e-6,3.0007199414613184,3.0616433659782185,0.989606517373921,0.0,2.2506207876629255e-6,0.0,0.00822180499945865,0.0
2.447832295887157e-6,1,3.0e-6,3.0007199414217642,3.061643360556086,0.9896065174338723,0.0,3.3759312377068027e-6,0.0,0.008221806103120864,0.0
2.447832295887157e-6,1,4.0e-6,3.0007199413663885,3.0616433529650537,0.9896065175178043,0.0,4.501241755205566e-6,0.0,0.008221807648249868,0.0
2.447832295887157e-6,1,5.0e-6,3.000719941295191,3.0616433432052226,0.9896065176257167,0.0,5.626552362644162e-6,0.0,0.008221809634839568,0.0
2.447832295887157e-6,1,6.0e-6,3.000719941208172,3.0616433312765725,0.9896065177576103,0.0,6.751863082507519e-6,0.0,0.008221812062889706,0.0
2.447832295887157e-6,1,7.0e-6,3.0007199411053307,3.0616433171789694,0.9896065179134841,0.0,7.877173937280546e-6,0.0,0.008221814932409456,0.0
2.447832295887157e-6,1,8.0e-6,3.0007199409866687,3.061643300912563,0.9896065180933393,0.0,9.002484949448136e-6,0.0,0.00822181824338803,0.0
2.447832295887157e-6,1,9.0e-6,3.000719940852184,3.0616432824772497,0.9896065182971752,0.0,1.0127796141495152e-5,0.0,0.00822182199583066,0.0
2.447832295887157e-6,1,1.0e-5,3.000719940701878,3.0616432618731344,0.9896065185249932,0.0,1.1253107535906426e-5,0.0,0.008221826189727315,0.0
2.447832295887157e-6,1,1.1e-5,3.0007199405357508,3.061643239100047,0.9896065187767913,0.0,1.2378419155166753e-5,0.0,0.008221830825092431,0.0
2.447832295887157e-6,1,1.2e-5,3.0007199403538007,3.0616432141581185,0.9896065190525715,0.0,1.35037310217609e-5,0.0,0.008221835901913027,0.0
2.447832295887157e-6,1,1.3e-5,3.00071994015603,3.061643187047359,0.989606519352334,0.0,1.4629043158173587e-5,0.0,0.008221841420185744,0.0
2.447832295887157e-6,1,1.4e-5,3.0007199399424374,3.0616431577676986,0.9896065196760783,0.0,1.5754355586889484e-5,0.0,0.00822184737991583,0.0
2.447832295887157e-6,1,1.5e-5,3.0007199397130226,3.061643126319081,0.9896065200238042,0.0,1.6879668330393234e-5,0.0,0.008221853781104332,0.0
2.447832295887157e-6,1,1.6e-5,3.000719939467787,3.0616430927015843,0.9896065203955128,0.0,1.8004981411169396e-5,0.0,0.00822186062374451,0.0
2.447832295887157e-6,1,1.7e-5,3.000719939206729,3.061643056915199,0.9896065207912045,0.0,1.9130294851702497e-5,0.0,0.008221867907833616,0.0
2.447832295887157e-6,1,1.8e-5,3.0007199389298504,3.0616430189598836,0.9896065212108789,0.0,2.0255608674477003e-5,0.0,0.008221875633373746,0.0
2.447832295887157e-6,1,1.9e-5,3.0007199386371486,3.061642978835655,0.9896065216545364,0.0,2.1380922901977302e-5,0.0,0.00822188380036026,0.0
2.447832295887157e-6,1,2.0e-5,3.000719938328626,3.061642936542483,0.9896065221221778,0.0,2.2506237556687718e-5,0.0,0.008221892408793707,0.0
2.447832295887157e-6,1,2.1e-5,3.0007199380042815,3.0616428920803918,0.9896065226138034,0.0,2.3631552661092523e-5,0.0,0.008221901458668739,0.0
2.447832295887157e-6,1,2.2e-5,3.000719937664116,3.0616428454493194,0.9896065231294129,0.0,2.4756868237675896e-5,0.0,0.00822191094998704,0.0
2.447832295887157e-6,1,2.3e-5,3.000719937308128,3.061642796649294,0.9896065236690071,0.0,2.5882184308921936e-5,0.0,0.008221920882744099,0.0
2.447832295887157e-6,1,2.4e-5,3.0007199369363184,3.061642745680321,0.9896065242325867,0.0,2.7007500897314675e-5,0.0,0.008221931256935712,0.0
2.447832295887157e-6,1,2.5e-5,3.0007199365486876,3.061642692542358,0.9896065248201513,0.0,2.8132818025338044e-5,0.0,0.008221942072562678,0.0
2.447832295887157e-6,1,2.6e-5,3.000719936145235,3.0616426372353924,0.9896065254317022,0.0,2.92581357154759e-5,0.0,0.008221953329621032,0.0
2.447832295887157e-6,1,2.7e-5,3.00071993572596,3.0616425797594666,0.9896065260672395,0.0,3.0383453990211988e-5,0.0,0.008221965028105434,0.0
2.447832295887157e-6,1,2.8e-5,3.000719935290864,3.061642520114455,0.9896065267267631,0.0,3.150877287202997e-5,0.0,0.008221977168020787,0.0
2.447832295887157e-6,1,2.9e-5,3.0007199348399465,3.061642458300508,0.9896065274102746,0.0,3.2634092383413405e-5,0.0,0.008221989749352825,0.0
2.447832295887157e-6,1,3.0e-5,3.000719934373207,3.0616423943174533,0.9896065281177736,0.0,3.375941254684575e-5,0.0,0.008222002772109346,0.0
2.447832295887157e-6,1,3.1e-5,3.000719933890646,3.06164232816535,0.9896065288492606,0.0,3.488473338481034e-5,0.0,0.008222016236282383,0.0
2.447832295887157e-6,1,3.2e-5,3.000719933392263,3.061642259844194,0.9896065296047367,0.0,3.601005491979041e-5,0.0,0.008222030141867316,0.0
2.447832295887157e-6,1,3.3e-5,3.000719932878058,3.061642189353977,0.9896065303842019,0.0,3.713537717426909e-5,0.0,0.008222044488861612,0.0
2.447832295887157e-6,1,3.4e-5,3.0007199323480322,3.0616421166946837,0.9896065311876576,0.0,3.8260700170729355e-5,0.0,0.008222059277260838,0.0
2.447832295887157e-6,1,3.5e-5,3.0007199318021844,3.0616420418662202,0.9896065320151031,0.0,3.9386023931654095e-5,0.0,0.008222074507067908,0.0
2.447832295887157e-6,1,3.6e-5,3.000719931240515,3.0616419648686755,0.9896065328665399,0.0,4.051134847952606e-5,0.0,0.00822209017827035,0.0
2.447832295887157e-6,1,3.7e-5,3.0007199306630246,3.0616418857019987,0.9896065337419685,0.0,4.163667383682787e-5,0.0,0.008222106290867705,0.0
2.447832295887157e-6,1,3.8e-5,3.000719930069711,3.061641804366149,0.9896065346413894,0.0,4.276200002604198e-5,0.0,0.008222122844858244,0.0
2.447832295887157e-6,1,3.9e-5,3.0007199294605766,3.0616417208611204,0.9896065355648029,0.0,4.388732706965077e-5,0.0,0.0082221398402368,0.0
2.447832295887157e-6,1,4.0e-5,3.0007199288356206,3.0616416351868883,0.9896065365122101,0.0,4.501265499013643e-5,0.0,0.008222157276999983,0.0
2.447832295887157e-6,1,4.1e-5,3.000719928194843,3.0616415473434944,0.9896065374836122,0.0,4.613798380998101e-5,0.0,0.008222175155137765,0.0
2.447832295887157e-6,1,4.2e-5,3.0007199275382432,3.06164145733084,0.9896065384790085,0.0,4.726331355166643e-5,0.0,0.00822219347465427,0.0
2.447832295887157e-6,1,4.3e-5,3.0007199268658216,3.0616413651489633,0.9896065394984007,0.0,4.838864423767444e-5,0.0,0.008222212235539388,0.0
2.447832295887157e-6,1,4.4e-5,3.0007199261775797,3.061641270797849,0.9896065405417899,0.0,4.9513975890486644e-5,0.0,0.008222231437788026,0.0
2.447832295887157e-6,1,4.5e-5,3.0007199254735153,3.061641174277437,0.9896065416091757,0.0,5.063930853258448e-5,0.0,0.00822225108139963,0.0
2.447832295887157e-6,1,4.6e-5,3.000719924753629,3.0616410755877275,0.98960654270056,0.0,5.1764642186449215e-5,0.0,0.008222271166365893,0.0
2.447832295887157e-6,1,4.7e-5,3.0007199240179214,3.0616409747286446,0.9896065438159423,0.0,5.2889976874561977e-5,0.0,0.008222291692689123,0.0
2.447832295887157e-6,1,4.8e-5,3.000719923266392,3.061640871700296,0.9896065449553249,0.0,5.401531261940368e-5,0.0,0.0082223126603522,0.0
